amazon_category_and_sub_category,description
Fancy Dress > Accessories > Temporary Tattoos,make undersea adventures come to life with fun glitter tattoo stencils pack includes mix of stencil designs to suit everyone  and of all ages  professionally designed and packaged makes this the perfect gift idea  product features  really easy to use stencils with stunning results water based adhesive vinyl  so  safe to use anywhere on the body including face suitable for children aged and above  adult supervision recommended great for parties  party packs and thank you gifts etc under the sea stencil pack includes  stencils with different designs pack includes skin cleaning wipes each individual stencil is approximately x stencil designs including fun fish  sharks  star fish many more are included in this adventurous stencil pack directions for use   peel paper backing from rear of stencil  place stencil onto desired area  apply glue to the stencil using applicator  wait or minutes until the glue has started to dry  use the small brush to apply the glitter powder  using the large brush dab the glitter into place  brush away excess glitter and remove stencil
Fancy Dress > Accessories > Temporary Tattoos,a trio of glitters perfect for glitter tattoos and body art  different colours that make the perfect refill pack for any glitter tattoo or body art includes   gram pots of purple  orange and silver glitter powders  professionally designed and packaged makes this the perfect gift idea or refill pack  product features  really easy to use stencils with stunning results cosmetic grade glitter powders so safe to use anywhere on the body suitable for children aged and above  adult supervision recommended great for parties  party packs  thank you gift etc glitter pack includes  pots of glitter in total each pot is grams directions for use for glitter tattoos   peel paper backing from rear of stencil  place stencil onto desired area  apply glue to the stencil using applicator  wait or minutes until the glue has started to dry  use the small brush to apply the glitter powder  using the large brush dab the glitter into place  brush away excess glitter and remove stencil
Fancy Dress > Accessories > Temporary Tattoos,unique freak tattoos brought the latest accessory to the uk  our brand now supply stores across the world  you can find unique freak tattoos in dubai  america  cyprus and ibiza to name few  new to uk  beautiful jewellery  tribal and boho inspired temporary tattoos  the perfect unique accessory to your beach  nightlife and festival wear  get creative  we can guarantee compliments galore  frequently asked questions how long do they last? unique freak tattoos will last between   days  depending on area of application  the tattoo will diminish more quickly on areas of regular friction from clothing  jewellery etc eg  the wrist area how do you use them? application unique freak tattoos are extremely versatile allowing you to create beautiful unique accessory to your beach  nightlife and festival wear  when you have decided on area of application  ensure the skin is clean and dry  cut closely around chosen design  remove clear protective layer  apply design face down to area  moisten with wet cloth for approx  seconds  voila  you have beautiful  unique accessory  avoid soaps lotions and oils on area however  they are waterproof  if sunbathing with unique freak tattoos the result will be an amazing unique  tantoo  which will fade with your suntan  looks great  how are they removed? once your unique freak tattoo begins to diminish  apply oil or rubbing alcohol to remove safely and easily  are they safe? unique freak tattoos are perfectly safe  non toxic accessories using food grade adhesive however  if you have sensitive skin it is advisable to carry out small test patch prior to application  can sell the tattoos in my store? yes  we supply selected stores and companies with our unique freak brand  please contact info  co uk with enquiries
Fancy Dress > Accessories > Temporary Tattoos,due to the popularity of all our boys themed stencils  we have designed stencil pack that offers you complete mix of boys stencils we know you ll love  pack includes mix of fantastic designs to suit everyone  and of all ages  professionally designed and packaged makes this the perfect gift idea  product features  really easy to use stencils with stunning results water based adhesive vinyl  so  safe to use anywhere on the body including face suitable for children aged and above  adult supervision recommended great for parties  party packs  thank you gift etc mixed boys stencil pack includes  stencils with different designs pack includes skin cleaning wipes each individual stencil is approximately x directions for use   peel paper backing from rear of stencil  place stencil onto desired area  apply glue to the stencil using applicator  wait or minutes until the glue has started to dry  use the small brush to apply the glitter powder  using the large brush dab the glitter into place  brush away excess glitter and remove stencil
Fancy Dress > Accessories > Temporary Tattoos,a great value for money glitter tattoo kit with glitters in so you can be even more creative  includes everything you need to get started and there plenty for you to share with your friends  whether its gift for the birthday girl  or perhaps an alternative to the traditional party bag  our glitter tattoo kits will keep your party entertained for hours  features  really easy to use with stunning results completely cosmetic  so use anywhere on the body and face suitable for children and adults great for parties kit includes     ml body glue in shatter proof pot x easy to use stencils x   gram cosmetic glitter pots x glitter application brush x glitter finishing brushso easy to use   peel paper backing from rear of stencil  place stencil onto desired area  apply glue to the stencil using applicator  wait or minutes until the glue has started to dry  use the small brush to apply the glitter powder  using the large brush dab the glitter into place  brush away excess glitter and remove stencil
Characters & Brands > Disney > Toys,this kidkraft table brings the world of disney cars to life  with this deluxe radiator springs racetrack set and table  children get to explore their favourite cars locations without even leaving the house  it provides hours of exciting fun for kids  whilst playing with lighting mcqueen  mater  sally  and the rest of the gang  the table includes an integrated piston cup racetrack  which has multi level design making playtime even more fun  turn the cars with ramone spinning garage  build tower of tyres just like the one in the movies  and the working tow mater crane that stands over the track can lift and lower cargo  fun accessories include disney cars vehicles  road signs  track  and your favourite spring locations  the oval table keeps playtime off the floor and closer to eye level  and with two plastic bins included for easy and convenient storage  this train set is perfect for home or nursery use  specification made of composite wood materials suitable for   scale die cast cars  not included  number of pieces + assembly required  includes detailed step by step assembly instructions weight  dimensions    w x   cm manufacturers recommended age + years
Characters & Brands > Disney > Toys,product description british secret agent finn mcmissile is no ordinary spy car  in all his glory  he is an international machine of mystery  the secret spy attack finn mcmissile instantly transforms for all out action with top secret spy weapons and firing missiles  sound effects and thrilling transformations  finn comes fully loaded and ready for battle  featuring sound effects and fun phrases from the movie  this playset allows kids to recreate scenes from cars and invent their own spy missions  it comes with x button cell batteries included and is suitable for ages and up  box contains x secret spy attack finn mcmissile x x button cell batteries
Characters & Brands > Disney > Toys,product description disney pixar cars films thrill kids with amazing racing action and adventure  racing star lightning mcqueen is challenged by four characters to brave off road terrain  will he survive the crazy course that includes prickly cactus patches  gruesome graveyards  scary forests and tailpipe cavern? this new version of lightning mcqueen comes alive with wicked  off road styling  he is large scale for wilder adventures  there no course too tough to tackle nothing is off limits  blazing through tough terrain is snap when you have side to side steering just press on the left or right of the vehicle to go where you want  when you press down on the rear of the car  you ll hear his feisty engine revving sounds  activate more iconic sounds and phrases by pushing button on the roof  kids will have blast recreating scenes from the film with this realistic off road action vehicle  ages and older  box contains cars off road racin  lightning mcqueen
Characters & Brands > Disney > Toys,product description fill  er up  get ready to race and bring disney cars movie to life with the gas up go guido and lightning mcqueen car playset  help guido get lightning mcqueen fuelled up for his next race  the more gas pumped from guido gas can  the faster mcqueen goes  watch his wheels spin  lightning mcqueen has more than sounds and phrases  this playset is suitable for ages and up and comes with x aa batteries  box contains x cars talking lightning mcqueen   aa batteries
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,metal helicopter  built in gyro the gyro is an essential component in many rc helicopters  gyros in rc helicopters are most commonly used to control unwanted movement on the yaw axis  when an rc helicopter rotates on its yaw axis  the direction the nose points  the heading  changes  the yaw gyro job is to sense any undesired rotation around the yaw axis  clockwise or counter clockwise rotation when viewed from above and to automatically correct the orientation of the rc helicopter  without yaw gyro  even if the rc helicopter was trimmed out to fly straight initially  it would eventually begin to drift and rotate right or left  normal maneuvering of the rc helicopter and external forces can result in undesired yaw rotation  when this occurs  the gyroscope senses this change in yaw and corrects it  this results in stable flight for the rc helicopter and no undesired changes in yaw  specification colour may vary  size  plane weight  main rotor diameter  tail rotor diameter  range  about or below flight duration  approx   charging time  about   hours battery    li poly transmitter battery  aa not included  function  forward backward up down left or right rotation item included helicopter   remote controller   charger   balance charger box   spare main blade   pair spare tail rotor blade   colour may vary
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,aotop dron with   hd camera features function  ascending  descending  forward  backward  accelerate  turn left  turn right  side fly  degree accurate localization  hov   hd camera with led light  possible for night fly   axis gyro quad  strong stability  easily implement various flight movements  stronger wind resistance  easier to control  one key to return function makes it easily to find the way home with headless mode  no need to adjust the position of aircraft before flying high capacity battery included  provide longer flight time  lipo battery makes flight time up to    minutes large and lightweight airframe with nice durability full scale remote control with built in axis gyro system specification  frequency  gyro  color gray channels  channels control distance  about   charger time  about   flight time  charging time  about minute lipo battery    suitable ages  above years old battery of transmitter  aa batteries  not included  quadcopter size  package contents  jjrc quadcopter   transmitter  mode    pair of spare propellers     lipo battery   hd camera   adapter plate   sd card   card reader   landing gear   protective frame   charger cable   screwdriver   screw set   english manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,features   brand new  high quality and durable in performance  fly both indoor and outdoor  with led light  possible for night fly  two kinds of control mode switchable  degree eversion function for you to experience cool flying play  it has axis gyro which can have more stable flying and be easy to control  technology adopted for anti interference  more copters flying together can not interfere with each other  specifications  brand name  syma item name  material  abs color  black white red optional channels  channels controller mode  mode   mode remote control frequency  gyroscope  six axis function  degree flips  up  down  left  right  forward  backward motor  coreless motor suitable ages  above years old remote distance  battery for quadcopter    li po charging time  about   minutes working time  minutes battery of remote controller  aa battery  not included  battery dimensions    item dimensions    item weight  package list  syma rc quadcopter   transmitter  mode   mode      li po battery   pair of spare propeller   charging cable   srewdriver   english manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,product description global gizmos  provider of toys  gadgets and gizmos for all ages the global gizmo brand presents this fantastic entry level channel helicopter  this machine uses infrared remote control technology between machine and controller  no wires or pipes  ideal starter machine for pilots with little to know flying time under their belts as this is robust machine that can cope with the odd crash landing  this helicopter is designed for indoor use only  up to three of these helicopters can be flown at once as this is tri band so can be set to not clash with other pilots flying in the same air space  two colours are available  please see the other listing  red and black  please search for more great items from the benross group on amazon co uk including an extensive range of christmas  garden  solar lights  tools  polaroid batteries  agfa tablets  toys and gizmos  camping and much more  box contains x helicopter x remote control flying instructions
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,specification model  quantity  piece color  black recharging time  battery for quadcopter    mah included  battery for transmiter  aa battery  not included  camera  a av transmitter  a notice  for the first time  please fully charge it installing the landing gear after adjusting the frequency to ensure the gyroscope calibrate accurately dimension  quadcopter size  controller size    package contents x mini pocket drone included   mah li po battery  remote control transmitter x propeller  x rotor protector x landing gear  motor protector  quadcopter battery usb charger x instruction manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,channel rc mini helicopter gyroscope with technology and led for night flights as well as usb charging cable in order to conserve batteries of the remote control  this helicopter has   channel infrared remote control  thus  you can play the helicopter forward reverse left right high and down control the helicopter is fitted  only charge the battery  batteries in the transmitter and fly away  in addition  this beautiful helicopter features the new gyroscope technology  what does the new gyroscope system? with the new system  the new gyroscope helicopter flight offers fabulous features  this gyro system  also called gyro system  is basic component in helicopters  to prevent unwanted rotations about the axis  the gyro operates on the principle of the centrifugal stability  any independent rotation of the helicopter is detected and automatically corrected  as result  the flight characteristics of the helicopter is improved tremendously  the revised rotor blades are now also durable and can withstand slightly rougher landings  the low charge times enable an uninterrupted flight fun  in addition  the mounted leds provide? the right atmosphere  main features  new revised and new design  gyroscope latest technology    channel remote control low load time   motors for main and tail rotor leds flash during flight integrated  battery flexible main rotors length  mm height  mm main rotor  mm tail rotor  mm suitable from years
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,the masters of c helicopter are back with the new tech gyro flyer xl helicopter which uses gyro technology so your chopper remains stable when airborne  giving you more control over where the copter fly  this helicopter can move in practically any direction thanks to its channel technology  meaning you can explore the world through your c helicopter without being restricted by movement  additionally the copter double protection design ensures your helicopter won become damaged  as when the blades come into contact with hard object the copter automatically power off  which will keep your helicopter completely intact  the front of the helicopter houses bright led flash light for you to search the skies with and also keep track of your copter when the daylight starts to disappear  the included handheld remote is easy to use and comes in the shape of video game controller  making it easy to handle for any video game players  the remote also features two joysticks for complete control and two fine tuning buttons for you to accurately steer your copter through different obstacles  if your copter begins to lose power you can simply charge the rechargeable   battery via usb  so you won have to keep paying fortune on expensive batteries each time you want to take your c helicopter for spin  dimensions  length height   width   wingspan  controller requires batteries  not included  specification  battery    li poly charging time minutes flying time  minutes controlling distance  meters controller battery   not included  features  channel control handheld remote control lcd transmitter flashing lights searchlight gyro technology double protection technology usb charging cable tailblade screwdriver instructions
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,with the radio controlled blu tech heli by silverlit  you can control the helicopter withyour ipod  iphone or ipad simply by downloading the appropriate application  theapplication offers modes  gesture control  tilt touch control  and mixed gesture and touch this indoor helicopter model moves easily forward  up  down  rightor left  equipped with gyroscope  this model by silverlit is very stable and also veryrealistic with its motor noises  the battery level is indicated  it is capable of being controlled by ten people simultaneously  for fun with friends or the wholefamily  soldindividually  photo non contractual   this item is an assortment ofseveral different models  the manufacturer delivers matching products  but weare unable to ship specific model  in ordering this toy  you agree to receiveone of the models depending on our stock  our company must make you aware ofthese circumstances beyond our control  and thank you for your understanding
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,product description the ah cobra is two bladed  single engine attack helicopter praised for its extensive firepower and speed  the cobra has crew of two  pilot and co pilot  heavily armed the cobra can travel at maximum speed of about miles per hour and can carry up to   pounds of weight  now you can control your own cobra with this palm size rc helicopter  the detailed fuselage and flashing led lights provide great visual effect  especially in soft light indoor area  the mini channel helicopter is able to move in directions  up  down  backward  forward and clockwise and counter clockwise  perfect for beginners this rc chopper hovers easily and is very durable  flight time is around   minutes after   minutes charging  features channel   can be charged via the remote controller or usb cable  mode  infra red remote control  easy and convenient to use  frequency  b channel selector  allows up to two choppers to be flown at the same time  specifications flight time  approx   minutes  charging time  minutes  helicopter battery    li poly  remote control battery    aa batteries  not included dimensions       box contains x x remote x usb x instruction manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,colour name white and black product description the latest parrot bebop drone retains many of the popular features of the classic parrot product  including high definition megapixels fisheye camera  with amazing digital axis video stabilisation to get the clearest shot  plus of internal storage for your precious photographs and video files  the brilliant new parrot bebop drone additionally incorporates new battery  cleverly built into the streamlined body  that provides continuous flight time of up to minutes  more than doubling the previous duration the new parrot bebop weighs little more than it predecessor at around grams  but is still remarkably lightweight for leisure drone with professional specification  capable of improved performance  incorporating four powerful brushless motors fitted with slightly larger propellers to provide additional thrust  the bebop can climb vertically upwards at mph and fly forward faster at up to mph  allowing the drone to cope with headwinds better controlled using smartphone or tablet with wi fi range of metres  the bebop drone can also be piloted using the exclusive new black parrot special edition skycontroller  if you prefer  providing more precise response by using its two conventional control sticks  the piloting device is fixed on shelf that will accommodate the vast majority of smartphones and tablets available on the market  the skycontroller can operate the bebop with or without tablet  and extends the wi fi range up to kilometres  miles subject to local regulations furthermore  for extreme sensations you can connect virtual reality headset to your skycontroller  provided it hdmi compatible  to give you  first person view  from the drone’s camera  as seen from the cockpit  the pilot can still use the skycontroller to adjust the position of the camera  independent from the drones movements  the combination of numerous sensors provides impressive stability  plus great manoeuvrability when flown with the skycontroller  smartphone or tablet designed with safety in mind  the parrot bebop drone s lightweight reinforced structure makes it robust and safe  in case of accidental contact  all four propellers stop automatically  additionally an emergency mode enables you to land the drone immediately  whilst gps return home function brings the drone back to its take off point easily  always connected  the parrot bebop drone photo and video stream is synchronised in real time on your smartphone or tablet  so share your best shots instantly on your favourite social networks  like youtube and facebook download free piloting application freeflight for controlling the bebop drone  that is suitable for both ios and android smartphones and tablets  the application has been specially developed to offer ease of use  and let the pilot focus on the pleasure of flying  on the welcome screen  the pilot can easily access the following functions  piloting  photos videos  flight plan and the pilot academy  simply complete the user settings for altitude  speed  piloting mode  accelerometer and virtual joystick  the freeflight app also includes fun features such as one touch flip plan your flights on your smartphone or tablet by touching waypoints on your screen  and let the drone do the rest  in addition to increasing the stability in high altitude  the gps facility allows autonomous flights  and the drone automatically returns to the take off position  replay your flights modelled in on the pilot academy map  together with the altitude and speed  plus all the recorded data  choose your favourite parrot bebop drone from red or white colour schemes  together with the optional black skycontroller warranty    month parrot warranty provides cover for defective parts and workmanship  subject to proof of purchase  but clearly does not include damage in use  full range of spare parts are available separately  but always purchase genuine parrot replacement parts  as the substitution of alternative batteries or spares will invalidate the manufacturers warranty  parrot technical support can offer advice  or assistance following serious accident  complete an online submission on the parrot website  safety warning age  see all product description
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,fetures  brand new and high quality    rc helicopter with built in gyro  the first rc helicopter that can fly outdoor in wind weather  outdoor wind grade   pioneering single propeller design  it can greatly avoid the resistence of wind  high quality ultrathin metal canopy with ultra light weight and strong resistance of impact  high tenacity rotor wing  better flying performance than align rex  extremely steady and extremely agile  the remote control is designed with lcd disply for easier and more precise operation  freely flying up  down  forward  backward  left to fly  right to fly  hover with rapid response  it is suitable for both indoor and outdoor flying  the wind grade should be no more than   mini helicopter  specifications  item no  wltoys  battery for helicopter    li polymerv  flying time  about   minutes  charging time  about mimutes  usb charging controlling distance   meters  mode  left hand mode  battery for controller  aa batteries  not included helicopter size x x  remote control size  x x  package size        package included    rc helicopter x lcd display remote control x main blade x lipo charger x usb charging cable x li polymer battery x bilingual user manual no retail box  packed safely in bubble bag
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,double antenna version which can make the controlling range around meters description  item size   packing size     carton size   color white remote frequency   charging method by charger charging time bout hours action time about mins remote distance about indoor outdoor battery of controller aa dry battery not include  battery of drone   li po charge mode  switching power supply charging time  about hours flying time  about minutes functions  gps hold system  auto return  up and down  forward and backward  side flying  left and right turning  hover  package included  cx auto pathfinder rc quadcopter x transmitter  mode  x charger x battery
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,product description x rix   ghz helicopter ord  no  highlights  full aerobatic capability pitch controlled single rotor flybarless motor on off function on the transmitter and switchable   swash plate powerful motor makes even flying in wind possible super fast tail for rapid degree turns ball bearing swashplate   channel   ghz digital transmitter with lcd display   extra fast working fully proportional servos two flight modes for beginners and experts  constant speed and rpm and throttle curve  all channels can be fully trimmed canopy with quick fasten system quick change battery switchable from throttle left right  mode   functions  aileron rudder rotary speed roll pitch box contents  e rix   ghz helicopter transmitter   ghz   flight packs spare rotor blades spare rear rotor spare steering rod usb charging cable usb charger dual charging station instructions accessories  transmitter  aa   batteries  ord  no   pieces  technical data  rotor ~ mm length   mm height   mm weight   rtf battery lipo     mah box contains x rix   ghz helicopter  transmitter   ghz  flight packs  spare rotor blades  spare rear rotor  spare steering rod  usb charging cable  usb charger  dual charging station  instructions
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,colour name dark grey bnf description  brand name  cheerson item name  wifi fpv rc quadcopter item no cx frequency  channal  channal gyro  axis diameter of blade quadcopter size   quadcopter weight package size      control distance  about   flight distance  about   flight time  about charger time  about battery    included  transmitter  mobile camera  sd card  optional max of  material abs color  golden  rosy red  grey features  ascend descend forward backward turn left turn right hover left sideward fly right sideward fly etc  the battery is with protective function h speed to switch  it allows many people to play it at the same time and the transmission function has frequency points which would not disturb each other  it has   camera with take video and pictures memory card and card reader not included notice  the mobile phone in pictures is not included  package included  cx mobile rc quadcopter x usb charging cable x spare blades x user manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,walkera qr is the easiest control hexcopter in the world  profile design across time and space  wifi version with long range transmission  return home automatically  support picture  video  save function; support ios android users also  features  altitude hold mode ioc mode  one key to start land mode  one key to return mode follow me mode flight time  specifications  brand  walkeraitem name  qr  devo mode main rotor dia   w     off weight  battery included gryo  six axisreceiver  dsoftware  iremotedrive motor  hs      li poflight time  mins package information package size          weight    with plastic bag package list   walkera qr   devo transmitter mode       accessories   english user manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,"ever think about shooting video from your helicopter? the syma does it for you  the syma is beautiful yet practical  it is very stable and fun helicopter packed with   pixel camera onboard  it save video files into micro sd card  included   micro sd card so you can view the files on any computer with card reader  the camera can be detached from the heli  so when you can some relaxing flights without the camera  you get longer flight time and faster respond  the camera itself is controllable thru the transmitter  you can press ""take photo""  or ""take video""  it easy  for the helicopter structure  it is co axial rotor head design  the most stable design in all rc helis  specially made for beginners and very durable because of the light weight of the heli  the syma combines camera and the great stability heli structure  it can shoot some funny video like exploring the house and rooms  or examining the condition of your roof or surprise your kids upstairs from outside the windows   just make sure the location has wind less  it can do pretty good job  this toy helicopter is designed for anyone over years old  flight time is around   minutes after   minutes charging  it can fly in directions  they are  rotate clockwise anti clockwise move forward backward move up down"
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,description  brand name  eachine item name    axis rc quadcopter item no   frequency  gyro  axis color  green control distance  about charger time  about flight time  battery   included  remote control  aa battery  not included  quadcopter size      features  with headless mode no need to adjust the position of aircraft before flying  one key to return function makes it easily to find the way home  axis gyro quad rotorcraft flight  strong stability  can easily implement various flight movements  easier to control  technology adopted for anti interference  even more than one quadcopter is flying at the same time they will not interfere with each other  lightweight airframe with nice durability  it can realize tumbling in four directions  function  fpv ascend descend forward backward side flying  °rolling action   led   camera cf mode one keyreturn package included  eachine rc quadcopter x wifi   hd camera x transmitter x   battery x usb charger x propeller x screwdriver x english manual
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,radio telemetry kit module open source for apm     radio is the ideal way to setup telemetry connection between your apm and aground station  small  inexpensive and with great range  the radio uses an open source firmware which allows us to do things that cannot be done with other radios description item name  radio telemetry moduleband  connectors  rp sma connectoroutput power   adjustable between   sensitivityinterface  standard ttl uartconnection status  led indicatorsfeatures very small size light frequency bandreceiver sensitivity to  dbmtransmit power up to  transparent serial linkair data rates up to of approx mile with supplied antennasdemonstrated range of several kilometers with small omni antennacan be used with bi directional amplifier for even more rangemavlink protocol framing and status reportingfrequency hopping spread spectrum  fhss adaptive time division multiplexing  tdm support for lbt and afaconfigurable duty cyclebuilt in error correcting code  can correct up to  data bit errors open source firmwareat commands for radio configurationrt commands for remote radio configurationadaptive flow control when used with apmbased on the hoperf hm trp radio module  featuring an silabs rf microcontroller package included x radio telemetry base station  usb connection x telemetry transceiver  pin header x lead x antenna
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,the top race tr is the smallest quad copter in the world and breakthrough in technology  with its record size of only   by   inches  shape and accuracy you be amazed  the top race tr is very well built  made out of metal and hard durable plastic easy to fly with speed options high speed  normal speed  and low speed modes  for indoor and outdoor use  controlling distance is about feet  with the tr you can perform flips stunt flying  charge time is about min  for   min  flight  all included ready to fly  built in gyroscope  transmitter  usb charging cable  spare blades  manual  enjoy your flight
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,the tiny nano qx is rc flying fun you can take with you everywhere  the nano qx weighs little more than half an ounce and is small enough to fly in spaces no bigger than an office cubicle  never flown quad copter before? no problem  the nano qx uses the safe technology system with sophisticated flight control software to keep itself stable in hover while in stability mode  if you get in trouble  just let go of the sticks  the safe technology system will bring the nano qx back to hover all by itself  once you ve mastered the basics  you can switch the safe system to agility mode for faster flying speeds and more maneuverability safe stands for sensor assisted flight envelope and is central to the performance of the nano qx  even new pilots will feel comfortable with the nano qx in stability mode because safe will make sure the quad is always in control and in an upright fashion  you will feel an immediate sense of confidence and will be flying around like pro in no time learn more about safe at www flysaferc com
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,colour name features   hd camera enables smooth and immersive fpv piloting  power motor and axis gyro ensure its high stability as well as wind resistance  capable of cool stunts such as flips and rolls  headless mode avoids the hassle of identifying the head and tail when you start to fly  blade protectors reduce shock and crashing impact  colorful flashing lights keep the aircraft visible at night    technology for ber anti interference ability  about meters of remote distance offers more flexibility  large capacity battery for up to minutes of flight time  ideal for pilots of all skill levels  easy to control  can be flied indoors or outdoors specifications   brand  syma  model   suit version type  rtf  remote mode   remote distance  about  flight time  about   minute  material  pc  weight     color  silver  dimensions              cm  x x  package includes  quadcopter x transmitter x eu charger x   battery x   camera
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,"product description including the   gimbal the spirit of flight introducing the new   gimbal version of the phantom  this version features   axis on the zenmuse gimbal for incredibly smooth footage from your gopro  the gimbal counter acts movements on the quadcopters yaw axis making this the best solution for aerial footage from your gopro  the phantom is an evolution of the phantom  it features the same compact and highly integrated design  but comes with fpv flying and aerial photography support right out of the box  hardware mountings and software tuning are all carried out prior to delivery  meaning with rotors attached  charged battery and transmitter batteries available it can fly immediately  additional features include higher payload  built in intelligent battery  gimbal support and other functions  the axis zenmuse   gimbal is another milestone in gimbal innovation  designed for the gopro and   it is high precision gimbal offering high stability  light weight and plug and play simplicity  it is ideal for range of applications  from film and tv to cinematography  precise flight ground station support precision flight and stable hovering is provided by the integrated gps auto pilot system that offers position holding  altitude lock and stable hovering  giving you constant smooth flight so you can focus on getting the shots you want  the ground station support allows the user to program flight path using your smartphone with our waypoint ground station system  this means that as the phantom with   gimbal flies autonomously you are able to tilt the camera up and down  take photos and shoot video all the while without having to worry about flying the drone  quadcopter   computer modes the phantom flight control system has two computer assisted flight modes for you to choose from  if the quadcopter loses the signal from the controller for any reason the ""return to home"" feature will initialize  ioc is designed to help make flying more intuitive  the remote control operates with aa batteries and when fully charged the phantom vision will provide flight time of minutes  easy battery replacementview larger intelligent  long lasting battery the high capacity  high performance lithium polymer battery offers up to minutes of flight time  it provides battery capacity data  over charge discharge protection  as well as maintenance reminders making the battery extremely safe and reliable  flight time from full charge is minutes  gps auto pilotview larger precision flight and stable hovering an integrated gps auto pilot system that offers position holding  altitude lock and stable hovering allows your attention to be focused on shooting  return home featureview larger auto return to home  one key go home if the phantom and its controller are disconnected during flight  the system’s fail safe protection will activate  automatically telling and if the signal is good enough  the phantom to return home and land automatically  you can also setup one key go home function to activate this feature manually  complete control and flight safetyview larger no fly zones in order to increase flight safety and prevent accidental flights in restricted areas  the new firmware for the phantom series includes no fly zone feature  these zones have been divided into two categories  and  very intelligentview larger self tightening propellers the phantom has self tightening propellers  self tightening propellers are easy to install and tighten during flight to improve safety  all propellers are dynamically balanced to eliminate unwanted vibrations  that means that the user will not have to manually tighten blades  the dji is built in such way that minimal user input is required to maintain the drone  it truly has thought of everything  set flight courseview larger unbelievable intelligence program your flight path from an ipad with the waypoint ground station system  to shoot with more precision than ever requires dji   bluetooth  datalink  therefore when the drone is flying itself along the flight path the user is able to take all the camera shots they like without having to control the phantom  box contains x dji phantom     x controller x lipo battery x lipo balance charger x plug connections x instructions x spare blades"
Hobbies > Remote Controlled Devices > Parts & Accessories,description   brand new and high quality easy to install great spare part for your helicopter specifications  material  wire and stainless steel color  as the picture shows power  dc   size        wire length  approx    package included  tail motor note  please allow little size error due to manual measurement  please be reminded that due to lighting effects and monitor brightness contrast settings etc  the color tone of the website photo and the actual item could be slightly different
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,brand new  item  rc aircraft material  metal and plastic color  white dimension  x     x     inch  x x  charging time  about flying time  about romote distance  about battery    camera  frequency  suitable for  above ages aircraft battery    lithium battery controller battery    aa battery  not included  package content  rc aircraft  usb charger    spare blade  manual  screwdriver note  due to the difference between different monitors  the picture may not reflect the actual color of the item  we guarantee the style is the same as shown in the pictures  but not the same performance on different bodies as on the model  thank you
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,crius multiwii standard edition flight controller   features  pwm input channels for standard receiver or ppm sum receiver up to axis motor output   logic level converter   digital pressure sensor supported axis gimbal and auto trigger controll   axis gyro accel with motion processing unit   axis digital magnetometer ftdi uart port for upload firmware  debug  bluetooth module or lcd display   port for extend sensor  lcd oled display or gps nav board for gps and sonar ultra low noise   ldo voltage regulator atmega microcontroller details dimension  height    package weight   fixing hole spacing   it can be changed to by crius distribution board  hole diameter  package list se fc   to cable     to cable   ftdi   usb
Hobbies > Remote Controlled Devices > Helicopters & Quadcopters,colour name silver feature  new super stable flight rc mini spider quadcopter toy     axis gyro latest axis flight control system with adjustable gyro sensitivity permits super stable flight advanced degree led lights for night fly lightweight airframe with nice durability ways flip  left right forward backward  usb charging cable allows to charge by computer  flying both indoor and outdoor ability specifications  color  green silver optional motor  coreless motor frequency  battery  build in  flight time  around   minutes charging time  minutes transmitter    channels package size          in package weight    oz note  transmitter is model  left hand throttle  package list  quadcopter toy     trasmitter  model    lipo battery build in  usb charger   spare propeller   english manual
